
=== 129 PAGES EN BASE ===

SLUG                               TITLE                                   STATUS      PUB   CONTENT   STRUCT
--------------------------------------------------------------------------------------------------------------
about                              about                                   published   YES   656       yes
actions/collectivites              Collectivités locales                   published   YES   239       yes
actions/conformite                 Mise en conformité                      published   YES   239       yes
actions/diagnostics                Diagnostics électriques                 published   YES   0         no
actions/securisation               Sécurisation Marchés                    published   YES   239       yes
actions/sensibilisation            Sensibilisation                         published   YES   239       yes
actions/{slug}                     Actions {slug}                          published   YES   0         yes
activites                          Nos - Actions                           published   YES   0         yes
activities                         Nos Activités                           published   YES   295       yes
actualites                         Actualites                              published   YES   0         yes
actualites-evenements              Actualités & - Événements               published   YES   0         yes
admin                              Admin                                   published   YES   0         yes
admin-secondary                    Admin Secondary                         published   YES   0         yes
admin/builder                      Admin Builder                           published   YES   0         yes
admin/builder/config               Admin Builder Config                    published   YES   0         yes
admin/builder/legacy               Admin Builder Legacy                    published   YES   0         yes
admin/builder/{pageId}             Admin Builder {pageId}                  published   YES   0         yes
admin/craft-builder/{pageId}       Admin Craft Builder {pageId}            published   YES   0         yes
admin/page-sections                Admin Page Sections                     published   YES   0         yes
admin/permissions                  Admin Permissions                       published   YES   0         yes
admin/schematic-editor/{pageId}    Admin Schematic Editor {pageId}         published   YES   0         yes
analytics                          Analytics                               published   YES   0         yes
apps/{appId}                       Apps {appId}                            published   YES   0         yes
auth                               Auth                                    published   YES   0         yes
autorites                          Espace Autorités                        published   YES   0         yes
avantages                          advantages                              published   YES   0         yes
avis-clients                       Témoignages - PROQUELEC                 published   YES   0         yes
blog                               Blog - PROQUELEC                        published   YES   0         yes
blog/{slug}                        Blog {slug}                             published   YES   104       yes
certifications                     certifications                          published   YES   134       yes
collectivites                      Collectivités locales                   published   YES   0         yes
connexion                          Connexion                               published   YES   0         yes
conseils-menages                   Conseils ménages                        published   YES   0         yes
contact                            Contactez-nous                          published   YES   0         yes
contact-premium                    contact_premium                         published   YES   0         yes
dashboard                          Dashboard                               published   YES   0         yes
dashboard/electricien              Dashboard Electricien                   published   YES   0         yes
dashboard/entreprise               Dashboard Entreprise                    published   YES   0         yes
dashboard/membre                   Dashboard Membre                        published   YES   0         yes
demo/rbac                          Demo Rbac                               published   YES   0         yes
diagnostics/{id}                   Diagnostics {id}                        published   YES   0         yes
documents                          Documents & Ressources                  published   YES   129       yes
espace-autorites                   Espace - Autorités                      published   YES   12858     yes
espace-menages                     Espace - Ménages                        published   YES   13434     yes
espace-partenaires                 Espace - Partenaires                    published   YES   0         yes
espace-professionnels              Espace - Professionnels                 published   YES   13046     yes
evenements                         Evenements                              published   YES   0         yes
evenements/anniversaire            Anniversaire PROQUELEC                  published   YES   0         no
evenements/ateliers                Ateliers                                published   YES   239       yes
evenements/conferences             Conférences                             published   YES   239       yes
evenements/seminaires              Séminaires                              published   YES   239       yes
evenements/{slug}                  Evenements {slug}                       published   YES   0         yes
events                             events                                  published   YES   124       yes
expert-kebe                        Expert Kebe                             published   YES   101       yes
expert-lab                         Expert Lab - PROQUELEC                  published   YES   0         yes
expert/ai-providers                Expert Ai Providers                     published   YES   0         yes
expert/calculators                 Expert Calculators                      published   YES   0         yes
expert/chat                        Expert Chat                             published   YES   0         yes
expert/config                      Expert Config                           published   YES   0         yes
expert/docs                        Expert Docs                             published   YES   0         yes
expert/history                     Expert History                          published   YES   0         yes
expert/logs                        Expert Logs                             published   YES   0         yes
expert/models                      Expert Models                           published   YES   0         yes
expert/scanner                     Expert Scanner                          published   YES   0         yes
expert/schemas                     Expert Schemas                          published   YES   0         yes
expert/stats                       Expert Stats                            published   YES   0         yes
expertises-techniques              Expertises Techniques                   published   YES   91        yes
faq                                Faq                                     published   YES   0         yes
formation-certification            Formation & - Certification             published   YES   0         yes
formations                         Espace - Formations                     published   YES   99        yes
formations-proquelec               Formations PROQUELEC                    published   YES   82        yes
formations/artisans                Formation Artisans                      published   YES   239       yes
formations/collectivites           Formation Collectivités                 published   YES   239       yes
formations/{slug}                  Formations {slug}                       published   YES   0         yes
galerie                            Galerie                                 published   YES   0         yes
ged                                Ged                                     published   YES   0         yes
home                               PROQUELEC - Sénégal                     published   YES   4295      yes
lab                                PROQUELEC Lab                           published   YES   27        yes
labels                             labels                                  published   YES   104       yes
legal                              legal                                   published   YES   12781     yes
login                              Login                                   published   YES   0         yes
marches                            Marchés - Sécurisés                     published   YES   0         yes
menages                            Espace Ménages                          published   YES   0         yes
normative-corpus                   Normes électriques                      published   YES   0         yes
normes                             Normes et Ressources                    published   YES   21        yes
